UserName,CtrlPtCd,Target
DFCS061,A51,O
DFCS062,A52,O
DFCS063,A53,O
DFCS064,A54,O
DFCS065,A55,O
DFCS066,A56,O
DFCS067,A57,O
DFCS068,A58,O
DFCS069,A59,O
DFCS070,A60,O
DFCS071,A61,O
DFCS072,A62,O
DFCS073,A63,O
DFCS074,A64,O
DFCS075,A65,O
DFCS076,A66,O
DFCS077,A67,O
DFCS078,A68,O
DFCS079,A69,O
DFCS080,A70,O
DFCS081,A71,O
DFCS082,A72,O
DFCS083,A73,O
DFCS084,A74,O
DFCS085,A75,O
DFCS086,A76,O
DFCS087,A77,O
DFCS088,A78,O
DFCS089,A79,O
DFCS090,A80,O
DFCS091,A81,O
DFCS092,A82,O
DFCS093,A83,O
DFCS094,A84,O
DFCS095,A85,O
DFCS096,A86,O
DFCS097,A87,O
DFCS098,A88,O
DFCS099,A89,O
DFCS100,A90,O
DFCS101,A91,O
DFCS102,A92,O
DFCS103,A93,O
DFCS104,A94,O
DFCS105,A95,O
DFCS106,A96,O
DFCS107,A97,O
DFCS108,A98,O
DFCS109,A99,O
DFCS110,A00,O
DFCS121,SBC,S
DFCS122,AVP,S
DFCS123,HYP,S
DFCS124,XRL,S
DFCS125,HZM,S
DFCS126,ATT,S
DFCS127,OTU,S
DFCS128,VVD,S
DFCS129,TTU,S
DFCS130,STU,S
